nom,line,mode,order,lat,lon,arrondissement,figure_historique,couleur,ouverte_apres_1980,rive_gauche,has_rer,has_tram
Commerce,8,METRO,5,48.84463784771031,2.293687475167137,15,0,0,0,1,0,0
La Motte-Picquet - Grenelle,8,METRO,6,48.84967105681514,2.298488389923641,15,0,0,0,1,0,0
École Militaire,8,METRO,7,48.85491966058707,2.3063456838200764,7,0,0,0,1,0,0
La Tour-Maubourg,8,METRO,8,48.85772702353455,2.3104735359369846,7,0,0,0,1,0,0
Invalides,8,METRO,9,48.86109201138112,2.3146326604445164,7,0,0,0,1,1,0
Concorde,8,METRO,10,48.86656106315263,2.321915152849789,8,0,0,0,0,0,0
Madeleine,8,METRO,11,48.86956561611772,2.3260272117729994,1,0,0,1,0,0,0
Opéra,8,METRO,12,48.87059812248669,2.332135072925294,2,0,0,0,0,0,0
Richelieu - Drouot,8,METRO,13,48.87173920910264,2.3384190255427955,9,1,0,0,0,0,0
Grands Boulevards,8,METRO,14,48.871601969451355,2.3428924760133967,9,0,0,0,0,0,0
Bonne Nouvelle,8,METRO,15,48.87048144580479,2.348496122542364,2,0,0,0,0,0,0
Strasbourg - Saint-Denis,8,METRO,16,48.86946694920397,2.353797473153033,10,0,0,0,0,0,0
République,8,METRO,17,48.86742161002706,2.363149406900382,3,0,0,0,0,0,0
Filles du Calvaire,8,METRO,18,48.86308830188695,2.366826859795412,11,0,0,0,0,0,0
Saint-Sébastien - Froissart,8,METRO,19,48.86098670797991,2.367370357789606,11,0,0,0,0,0,0
Chemin Vert,8,METRO,20,48.85710602289208,2.3682216127650335,11,0,1,0,0,0,0
Bastille,8,METRO,21,48.85348468769834,2.369652217650188,11,0,0,0,0,0,0
Ledru-Rollin,8,METRO,22,48.85133776679838,2.3761412233185926,11,0,0,0,0,0,0
Faidherbe - Chaligny,8,METRO,23,48.85011054413369,2.384028566383108,12,0,0,0,0,0,0
Reuilly - Diderot,8,METRO,24,48.84721292669797,2.3872010704093922,12,0,0,0,0,0,0
Montgallet,8,METRO,25,48.8440641552825,2.39052195642492,12,0,0,0,0,0,0
Daumesnil,8,METRO,26,48.83967393140864,2.395573606140371,12,1,0,0,0,0,0
Michel Bizot,8,METRO,27,48.837000553950986,2.40228042706469,12,0,0,0,0,0,0
Porte de Charenton,8,METRO,28,48.83344922287947,2.402511872850073,12,0,0,0,0,0,1
Porte Dorée,8,METRO,29,48.83501737409391,2.4058739129875644,12,0,0,0,0,0,1
Liberté,8,METRO,30,48.82608032193611,2.406409459132366,94,0,0,0,0,0,0
Charenton - Écoles,8,METRO,31,48.82125590204953,2.413847237068526,94,0,0,0,0,0,0
Ecole Vétérinaire de Maisons-Alfort,8,METRO,32,48.814758684006726,2.422322751702586,94,0,0,0,0,0,0
Maisons-Alfort - Stade,8,METRO,33,48.80897743416717,2.434924424365985,94,0,0,0,1,0,0
Maisons-Alfort - Les Juilliottes,8,METRO,34,48.80310585036659,2.4457883063759605,94,0,0,0,1,0,0
Créteil - L'Échat,8,METRO,35,48.79661083011156,2.4493695956133714,94,0,0,0,1,0,0
Créteil - Université,8,METRO,36,48.789915686006935,2.450529196348293,94,0,0,0,1,0,0
Créteil - Préfecture,8,METRO,37,48.77975652677895,2.4593051692912615,94,0,0,0,1,0,0
Pointe du Lac,8,METRO,38,48.76876136434425,2.464317312722042,94,0,0,1,1,0,0
