nom,lines,lat,lon,arrondissement,figure_historique,couleur,ouverte_apres_1980,rive_gauche,has_rer
Duroc,10 13,48.846829,2.316479,1,0,0,0,0,0
Église d'Auteuil,10,48.847169,2.26902,1,0,0,0,0,0
Javel - André Citroën,10 C,48.846165,2.278716,1,0,0,0,0,1
Mabillon,10,48.852775,2.335322,1,1,0,0,0,0
Maubert - Mutualité,10,48.850193,2.347936,1,0,0,0,0,0
Mirabeau,10,48.8469,2.2721,1,0,0,0,0,0
Porte d'Auteuil,10,48.848025,2.25875,1,0,0,0,0,0
Ségur,10,48.847434,2.306853,1,0,0,0,0,0
Sèvres - Babylone,10 12,48.85151,2.326655,1,0,0,0,0,0
Vaneau,10,48.848947,2.321557,1,0,0,0,0,0
Côteaux Beauclair,11,48.882319,2.467539,93,0,0,0,0,0
La Dhuys,11,48.877536,2.4651,93,0,0,0,0,0
Montreuil-Hôpital,11,48.8783,2.454617,93,0,0,0,0,0
Romainville - Carnot,11,48.883253,2.440822,93,0,0,1,0,0
Rosny-Bois Perrier,11 E,48.88264,2.4815,93,0,0,0,0,1
Serge Gainsbourg,11,48.881258,2.427228,93,0,0,1,0,0
Goncourt,11,48.869831,2.370687,1,0,0,0,0,0
Jourdain,11,48.8752,2.389508,1,0,0,0,0,0
Mairie des Lilas,11,48.879788,2.416289,93,0,0,0,0,0
Pyrénées,11,48.873875,2.385259,1,0,0,0,0,0
Rambuteau,11,48.86119,2.35343,1,0,0,0,0,0
Télégraphe,11,48.875463,2.398434,1,0,0,0,0,0
Abbesses,12,48.884849,2.338688,1,0,0,0,0,0
Aimé Césaire,12,48.908317,2.37802,93,1,0,1,0,0
Assemblée Nationale,12,48.860655,2.32113,1,0,0,0,0,0
Convention,12,48.837419,2.296795,1,0,0,0,0,0
Corentin Celton,12,48.826833,2.278985,92,0,0,0,0,0
Falguière,12,48.844566,2.318287,1,0,0,0,0,0
Front Populaire,12,48.9068,2.366,93,0,0,1,0,0
Jules Joffrin,12,48.892437,2.344782,1,1,0,0,0,0
Lamarck - Caulaincourt,12,48.889139,2.338159,1,1,0,0,0,0
Mairie d'Aubervilliers,12,48.913829,2.380651,93,0,0,1,0,0
Mairie d'Issy,12,48.824152,2.273434,92,0,0,0,0,0
Marx Dormoy,12,48.891213,2.359909,1,1,0,0,0,0
Notre-Dame-de-Lorette,12,48.87604,2.337341,1,0,0,0,0,0
Notre-Dame-des-Champs,12,48.844568,2.328788,1,0,0,0,0,0
Porte de la Chapelle,12,48.897274,2.359191,1,0,0,0,0,0
Porte de Versailles,12,48.832328,2.287841,1,0,0,0,0,0
Rennes,12,48.848193,2.327763,1,0,0,0,0,0
Rue du Bac,12,48.85569,2.325607,1,0,0,0,0,0
Saint-Georges,12,48.878449,2.337382,1,0,0,0,0,0
Solférino,12,48.858249,2.323225,1,0,0,0,0,0
Trinité - d'Estienne d'Orves,12,48.876302,2.333197,1,0,0,0,0,0
Vaugirard,12,48.839649,2.301491,1,0,0,0,0,0
Volontaires,12,48.841343,2.307504,1,0,0,0,0,0
Basilique de Saint-Denis,13,48.93806,2.36083,93,0,0,0,0,0
Brochant,13,48.890833,2.319722,1,0,0,0,0,0
Carrefour Pleyel,13,48.92,2.34389,93,0,0,0,0,0
Châtillon - Montrouge,13,48.810539,2.301826,92,0,0,0,0,0
Gabriel Péri,13,48.916667,2.294444,92,1,0,1,0,0
Gaîté,13,48.838654,2.322637,1,0,0,0,0,0
Garibaldi,13,48.90639,2.33194,93,0,0,0,0,0
Guy Môquet,13,48.892222,2.327222,1,1,0,0,0,0
La Fourche,13,48.886944,2.325833,1,0,0,0,0,0
Les Agnettes,13,48.923056,2.285833,92,0,0,1,0,0
Les Courtilles,13,48.930556,2.283889,92,0,0,1,0,0
Liège,13,48.879722,2.326944,1,0,0,0,0,0
Mairie de Clichy,13,48.903056,2.306111,92,0,0,1,0,0
Mairie de Saint-Ouen,13 14,48.91167,2.33389,93,0,0,1,0,0
Malakoff - Plateau de Vanves,13,48.82284,2.29834,92,0,0,0,0,0
Malakoff - Rue Étienne Dolet,13,48.8147,2.2973,92,0,0,0,0,0
Pernety,13,48.83421,2.31851,1,0,0,0,0,0
Plaisance,13,48.831553,2.313741,1,0,0,0,0,0
Porte de Clichy,13 14 C,48.893889,2.314444,1,0,0,1,0,1
Porte de Saint-Ouen,13,48.896667,2.328611,1,0,0,0,0,0
Porte de Vanves,13,48.82794,2.30588,1,0,0,0,0,0
Saint-Denis - Porte de Paris,13,48.93028,2.35778,93,0,0,0,0,0
Saint-Denis - Université,13,48.94583,2.36361,93,0,0,0,0,0
Saint-François-Xavier,13,48.851951,2.314475,1,0,0,0,0,0
Varenne,13,48.856238,2.314921,1,0,0,0,0,0
Aéroport d'Orly,14,48.728081,2.362364,91,0,0,1,0,0
Bibliothèque François Mitterrand,14 C,48.829822,2.376781,1,0,0,1,0,1
Chevilly-Larue,14,48.75836,2.366663,94,0,0,1,0,0
Cour Saint-Émilion,14,48.834,2.386,1,0,0,1,0,0
Hôpital Bicêtre,14,48.809722,2.349722,94,0,0,1,0,0
L'Haÿ-les-Roses,14,48.775278,2.354167,94,0,1,1,0,0
Olympiades,14,48.827222,2.368333,1,0,0,1,0,0
Pont Cardinet,14,48.889481,2.315206,1,0,0,1,0,0
Saint-Denis–Pleyel,14,48.917709,2.344116,93,0,0,1,0,0
Saint-Ouen,14 C,48.904497,2.321806,93,0,0,1,0,1
Thiais–Orly,14,48.747367,2.372931,94,0,0,1,0,0
